id,label,diameter,weight,red,green,blue
1,orange,2.96,86.76,172,85,2
2,orange,4.47,95.6,163,81,4
3,orange,4.64,97.94,156,85,2
4,orange,4.69,100.31,161,76,6
5,orange,4.75,101.8,166,98,13
6,orange,4.82,103.1,162,87,12
7,orange,4.97,104.01,168,79,22
8,orange,5.08,104.56,156,94,2
9,orange,5.15,104.98,154,87,6
10,orange,5.22,105.47,161,75,10
11,orange,5.25,105.68,155,94,6
12,orange,5.3,106.85,159,84,13
13,orange,5.34,106.94,173,75,3
14,orange,5.37,107.64,178,92,7
15,orange,5.38,108.16,163,93,8
16,orange,5.45,108.63,145,75,18
17,orange,5.48,108.93,165,67,8
18,orange,5.48,109.37,128,87,4
19,orange,5.51,109.52,165,88,7
20,orange,5.53,110.4,169,76,3
21,orange,5.57,110.75,159,83,2
22,orange,5.6,111,167,74,2
23,orange,5.61,111.29,158,69,8
24,orange,5.65,111.59,138,78,14
25,orange,5.65,111.83,154,98,10
26,orange,5.67,111.95,165,78,2
27,orange,5.69,112.41,164,81,8
28,orange,5.71,112.77,154,62,20
29,orange,5.72,113.23,141,85,2
30,orange,5.73,113.62,155,87,2
31,orange,5.74,113.79,149,68,2
32,orange,5.77,114.17,150,95,2
33,orange,5.79,114.31,150,90,2
34,orange,5.8,114.48,165,68,2
35,orange,5.8,114.87,143,92,2
36,orange,5.84,114.96,152,84,17
37,orange,5.85,115.02,158,70,9
38,orange,5.87,115.16,168,77,9
39,orange,5.89,115.24,153,74,5
40,orange,5.92,115.4,171,91,2
41,orange,5.94,115.55,144,82,14
42,orange,5.95,115.79,169,69,7
43,orange,5.98,115.89,156,84,2
44,orange,5.99,116.22,143,85,18
45,orange,6,116.32,163,88,15
46,orange,6.01,116.36,154,69,4
47,orange,6.03,116.41,158,73,2
48,orange,6.04,116.83,156,99,2
49,orange,6.04,116.9,150,85,2
50,orange,6.06,117.01,170,83,13
51,orange,6.06,117.14,155,88,18
52,orange,6.08,117.2,165,97,2
53,orange,6.1,117.28,160,77,2
54,orange,6.11,117.52,167,86,2
55,orange,6.11,117.81,163,75,17
56,orange,6.14,117.98,165,78,17
57,orange,6.14,118.27,151,81,2
58,orange,6.16,118.4,151,72,21
59,orange,6.16,118.62,173,95,2
60,orange,6.16,118.82,160,79,17
61,orange,6.17,119.12,144,89,2
62,orange,6.18,119.31,138,79,10
63,orange,6.19,119.35,162,84,2
64,orange,6.2,119.45,166,89,5
65,orange,6.21,119.63,160,69,4
66,orange,6.22,119.9,145,99,8
67,orange,6.23,120.03,162,75,2
68,orange,6.24,120.04,145,80,17
69,orange,6.25,120.1,149,81,2
70,orange,6.26,120.16,167,96,16
71,orange,6.27,120.47,169,66,2
72,orange,6.28,120.63,153,87,18
73,orange,6.28,120.66,146,92,22
74,orange,6.29,120.78,156,82,5
